ticker,etp_category
PSMO US,Defined
PSMR US,Defined
PSTP US,Defined
PWS US,Defined
QB US,Defined
QBER US,Defined
QBF US,Defined
QBSF US,Defined
QBUF US,Defined
QBUL US,Defined
QCAP US,Defined
QCJA US,Defined
QCJL US,Defined
QCOC US,Defined
QDEC US,Defined
QFLR US,Defined
QGRD US,Defined
QHDG US,Defined
QJUN US,Defined
QMAG US,Defined
QMAR US,Defined
QMFE US,Defined
QMMY US,Defined
QMNV US,Defined
QSPT US,Defined
QTAP US,Defined
QTJA US,Defined
QTJL US,Defined
QTOC US,Defined
RB US,Defined
RBUF US,Defined
RFLR US,Defined
RSDE US,Defined
RSJN US,Defined
RSMR US,Defined
RSSE US,Defined
SAUG US,Defined
SBAR US,Defined
SEPM US,Defined
SEPP US,Defined
SEPT US,Defined
SEPU US,Defined
SEPW US,Defined
SEPZ US,Defined
SFEB US,Defined
SFLR US,Defined
SIXD US,Defined
SIXF US,Defined
SIXJ US,Defined
SIXO US,Defined
SIXP US,Defined
SIXZ US,Defined
SMAX US,Defined
SMAY US,Defined
SNOV US,Defined
SPBU US,Defined
SPBW US,Defined
SPBX US,Defined
SPYH US,Defined
SQMX US,Defined
STEN US,Defined
TAPR US,Defined
TBJL US,Defined
TDEC US,Defined
TEND US,Defined
TENJ US,Defined
TENM US,Defined
TFJL US,Defined
THEQ US,Defined
TJAN US,Defined
TJUL US,Defined
TJUN US,Defined
TMAR US,Defined
TOCT US,Defined
TRIO US,Defined
TSEP US,Defined
TWOX US,Defined
UAPR US,Defined
UAUG US,Defined
UDEC US,Defined
UFEB US,Defined
UJAN US,Defined
UJUL US,Defined
UJUN US,Defined
UMAR US,Defined
UMAY US,Defined
UNOV US,Defined
UOCT US,Defined
USEP US,Defined
UXAP US,Defined
UXJA US,Defined
UXJL US,Defined
UXOC US,Defined
XAPR US,Defined
XAUG US,Defined
XBAP US,Defined
XBJA US,Defined
XBJL US,Defined
XBOC US,Defined
XDEC US,Defined
XDQQ US,Defined
XDSQ US,Defined
XFEB US,Defined
XIDE US,Defined
XIJN US,Defined
XIMR US,Defined
XISE US,Defined
XJAN US,Defined
XJUL US,Defined
XJUN US,Defined
XMAR US,Defined
XMAY US,Defined
XNOV US,Defined
XOCT US,Defined
XSEP US,Defined
XTAP US,Defined
XTJA US,Defined
XTJL US,Defined
XTOC US,Defined
XUSP US,Defined
YDEC US,Defined
YJUN US,Defined
YMAR US,Defined
YSEP US,Defined
ZALT US,Defined
ZAPR US,Defined
ZAUG US,Defined
ZDEK US,Defined
ZFEB US,Defined
ZJAN US,Defined
ZJUL US,Defined
ZJUN US,Defined
ZMAR US,Defined
ZMAY US,Defined
ZNOV US,Defined
ZOCT US,Defined
ZSEP US,Defined
BFJA US,Defined
DGJA US,Defined
BTCL US,LI
BTCZ US,LI
ETQ US,LI
ETU US,LI
SOLX US,LI
XRPK US,LI
AALG US,LI
AAPB US,LI
AAPD US,LI
AAPU US,LI
AAPX US,LI
ABNG US,LI
ADBG US,LI
ADZCF US,LI
AFRU US,LI
AGQ US,LI
AIBD US,LI
AIBU US,LI
AMDD US,LI
AMDG US,LI
AMDL US,LI
AMUU US,LI
AMZD US,LI
AMZU US,LI
AMZZ US,LI
ANEL US,LI
APED US,LI
APLX US,LI
APPX US,LI
ARCX US,LI
ARMG US,LI
ARMU US,LI
ASMG US,LI
ASTX US,LI
AURU US,LI
AVGG US,LI
AVGU US,LI
AVGX US,LI
AVL US,LI
AVS US,LI
AVXX US,LI
AXUP US,LI
BABX US,LI
BAIG US,LI
BDCX US,LI
BDDXF US,LI
BEG US,LI
BEGS US,LI
BERZ US,LI
BEX US,LI
BIB US,LI
BIDG US,LI
BIS US,LI
BITI US,LI
BITU US,LI
BITX US,LI
BKNU US,LI
BLSG US,LI
BLSX US,LI
BMNG US,LI
BMNU US,LI
BMNZ US,LI
BNKD US,LI
BNKU US,LI
BOED US,LI
BOEG US,LI
BOEU US,LI
BOIL US,LI
BOMMF US,LI
BOSXF US,LI
BRKD US,LI
BRKU US,LI
BRZU US,LI
BTFL US,LI
BTFX US,LI
BTGD US,LI
BU US,LI
BULG US,LI
BULU US,LI
BULX US,LI
BULZ US,LI
BZQ US,LI
CARD US,LI
CARU US,LI
CCUP US,LI
CEFD US,LI
CEGX US,LI
CELT US,LI
CHAU US,LI
CIFG US,LI
CIFU US,LI
CLSX US,LI
CMGG US,LI
CNCG US,LI
COIA US,LI
COIG US,LI
COIO US,LI
CONI US,LI
CONL US,LI
CONX US,LI
CORD US,LI
CORX US,LI
COTG US,LI
COZX US,LI
CPXR US,LI
CRCA US,LI
CRCD US,LI
CRCG US,LI
CRDU US,LI
CRMG US,LI
CRWG US,LI
CRWL US,LI
CRWU US,LI
CSCL US,LI
CSCS US,LI
CSEX US,LI
CSM US,LI
CURE US,LI
CVNX US,LI
CWEB US,LI
CWVX US,LI
CXRN US,LI
DAGXF US,LI
DAMD US,LI
DASX US,LI
DDM US,LI
DDPXF US,LI
DEENF US,LI
DFEN US,LI
DGP US,LI
DGZ US,LI
DIG US,LI
DJTU US,LI
DKNX US,LI
DKUP US,LI
DLLL US,LI
DOG US,LI
DOGD US,LI
DPST US,LI
DRIP US,LI
DRN US,LI
DRV US,LI
DUG US,LI
DULL US,LI
DUOG US,LI
DUSL US,LI
DUST US,LI
DXD US,LI
DYYXF US,LI
DZZ US,LI
EDC US,LI
EDZ US,LI
EET US,LI
EEV US,LI
EFO US,LI
EFU US,LI
EFZ US,LI
ELIL US,LI
ELIS US,LI
EMTY US,LI
ENPX US,LI
EPV US,LI
ERX US,LI
ERY US,LI
ETHD US,LI
ETHT US,LI
ETHU US,LI
ETRL US,LI
EUM US,LI
EUO US,LI
EURL US,LI
EWV US,LI
EZJ US,LI
FAS US,LI
FAZ US,LI
FBL US,LI
FIGG US,LI
FLYD US,LI
FLYT US,LI
FLYU US,LI
FNGD US,LI
FNGG US,LI
FNGO US,LI
FNGU US,LI
FRDD US,LI
FRDU US,LI
FUTG US,LI
FXP US,LI
GDXD US,LI
GDXU US,LI
GEMG US,LI
GEVG US,LI
GEVX US,LI
GGLL US,LI
GGLS US,LI
GLGG US,LI
GLL US,LI
GLXU US,LI
GMEU US,LI
GOOX US,LI
GOU US,LI
GRAG US,LI
GSX US,LI
GUSH US,LI
HCMT US,LI
HDLB US,LI
HIBL US,LI
